D A T E,price,trade,외국인보유비율,20_trade
2016-12-02,1361000,307059,50.89,248266
2016-12-05,1382000,169692,50.89,249089
2016-12-06,1414000,280036,50.85,257673
2016-12-07,1419000,192073,50.88,251594
2016-12-08,1398000,329251,50.82,256261
2016-12-09,1401000,213049,50.81,254076
2016-12-12,1355000,228289,50.81,250358
2016-12-13,1361000,233689,50.81,248376
2016-12-14,1377000,149102,50.83,242523
2016-12-15,1372000,115471,50.79,240426
2016-12-16,1420000,234954,50.76,242713
2016-12-19,1430000,108716,50.75,239969
2016-12-20,1438000,152304,50.75,237833
2016-12-21,1432000,131042,50.75,231716
2016-12-22,1418000,127092,50.74,230314
2016-12-23,1396000,166697,50.71,232372
2016-12-26,1409000,96472,50.73,223901
2016-12-27,1428000,93069,50.72,210473
2016-12-28,1424000,133258,50.76,188601
2016-12-29,1433000,150329,50.76,180582
2017-01-02,1440000,93012,50.77,169880
2017-01-03,1439000,147153,50.79,168753
2017-01-04,1440000,159435,50.82,162723
2017-01-05,1414000,219349,50.78,164087
2017-01-06,1431000,177619,50.81,156505
2017-01-09,1472000,263898,50.87,159048
2017-01-10,1477000,181996,50.87,156733
2017-01-11,1537000,240363,50.89,157067
2017-01-12,1537000,233383,50.87,161281
2017-01-13,1486000,319089,50.8,171462
2017-01-16,1466000,332230,50.73,176325
2017-01-17,1476000,163014,50.72,179040
2017-01-18,1473000,177508,50.72,180300
2017-01-19,1484000,188378,50.73,183167
2017-01-20,1471000,183700,50.71,185998
2017-01-23,1508000,176208,50.69,186473
2017-01-24,1522000,220975,50.69,192698
2017-01-25,1582000,268677,50.69,201479
2017-01-26,1615000,304290,50.71,210030
2017-01-31,1571000,359844,50.69,220506
2017-02-01,1565000,283008,50.67,230006
2017-02-02,1574000,300586,50.72,237678
2017-02-03,1566000,207727,50.7,240092
2017-02-06,1577000,177214,50.69,237985
2017-02-07,1560000,280836,50.65,243146
2017-02-08,1549000,341859,50.61,247044
2017-02-09,1556000,273883,50.62,251639
2017-02-10,1537000,220415,50.59,250641
2017-02-13,1523000,222041,50.57,250074
2017-02-14,1519000,262483,50.53,247244
2017-02-15,1514000,283831,50.52,244824
2017-02-16,1523000,204527,50.54,246900
2017-02-17,1507000,307549,50.53,253402
2017-02-20,1537000,149716,50.55,251468
2017-02-21,1548000,211252,50.54,252846
2017-02-22,1559000,170789,50.55,252575
2017-02-23,1555000,204346,50.54,251744
2017-02-24,1498000,185937,50.51,247607
2017-02-27,1489000,180674,50.48,241426
2017-02-28,1496000,301774,50.47,238522
2017-03-02,1567000,424996,50.59,245622
2017-03-03,1545000,254174,50.59,243301
2017-03-06,1560000,244697,50.64,245150
2017-03-07,1557000,211065,50.63,246842
2017-03-08,1553000,242819,50.66,244941
2017-03-09,1540000,287445,50.69,242221
2017-03-10,1550000,204556,50.7,238754
2017-03-13,1578000,148482,50.7,235158
2017-03-14,1613000,226501,50.72,235381
2017-03-15,1615000,191757,50.69,231844
2017-03-16,1630000,198663,50.67,227586
2017-03-17,1649000,252046,50.65,229962
2017-03-20,1617000,205001,50.64,224835
2017-03-21,1640000,284403,50.63,231569
2017-03-22,1647000,328545,50.58,237434
2017-03-23,1618000,307942,50.56,244291
2017-03-24,1592000,256163,50.52,246882
2017-03-27,1580000,243553,50.53,249763
2017-03-28,1590000,164325,50.46,248945
2017-03-29,1618000,201865,50.44,243950
2017-03-30,1624000,164080,50.38,230904
2017-03-31,1603000,210006,50.33,228696
2017-04-03,1610000,191588,50.3,226040
2017-04-04,1628000,245110,50.33,227743
2017-04-05,1640000,213994,50.33,226301
2017-04-06,1615000,193668,50.32,221612
2017-04-07,1607000,200420,50.31,221406
2017-04-10,1612000,142827,50.3,221123
2017-04-11,1595000,143458,50.29,216971
2017-04-12,1599000,165498,50.31,215658
2017-04-13,1616000,180816,50.3,214765
2017-04-14,1600000,109257,50.29,207626
2017-04-17,1586000,104495,50.26,202601
2017-04-18,1582000,137213,50.26,195241
2017-04-19,1571000,235258,50.24,190577
2017-04-20,1559000,422977,50.17,196329
2017-04-21,1586000,302610,50.53,198651
2017-04-24,1586000,179803,50.54,195463
2017-04-25,1634000,385992,50.64,206547
2017-04-26,1641000,295896,50.62,211248
2017-04-27,1719000,460645,50.65,226077
2017-04-28,,,,
